folder,image_path,status,width,height
C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi\BubatBrt_20260513_000704.jpg,ok,640,480
C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi\BubatBrt_20260513_000822.jpg,ok,640,480
C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi\BubatBrt_20260513_000901.jpg,ok,640,480
C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi\BubatBrt_20260513_000940.jpg,ok,640,480
C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi\BubatBrt_20260513_001019.jpg,ok,640,480
C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi\BubatBrt_20260513_001058.jpg,ok,640,480
C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi\BubatBrt_20260513_001137.jpg,ok,640,480
C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi\BubatBrt_20260513_001217.jpg,ok,640,480
C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi\BubatBrt_20260513_001256.jpg,ok,640,480
C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi\BubatBrt_20260513_001335.jpg,ok,640,480
C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi\BubatBrt_20260513_001414.jpg,ok,640,480
C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi\BubatBrt_20260513_001453.jpg,ok,640,480
C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi\BubatBrt_20260513_001552.jpg,ok,640,480
C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi\BubatBrt_20260513_001631.jpg,ok,640,480
C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi\BubatBrt_20260513_001652.jpg,ok,640,480
C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi\BubatBrt_20260513_001731.jpg,ok,640,480
